word,positive,negative,neutral,total_count
view,29.0,5.0,51.0,85.0
tell,24.0,3.0,58.0,85.0
hope,25.0,3.0,57.0,85.0
apple,21.0,10.0,54.0,85.0
grok,31.0,5.0,49.0,85.0
within,25.0,9.0,51.0,85.0
beyond,25.0,3.0,56.0,84.0
networks,27.0,4.0,53.0,84.0
happening,20.0,1.0,63.0,84.0
kind,28.0,1.0,55.0,84.0
driven,25.0,7.0,52.0,84.0
information,38.0,0.0,46.0,84.0
labs,27.0,1.0,56.0,84.0
old,25.0,1.0,58.0,84.0
dex,37.0,1.0,46.0,84.0
matter,29.0,1.0,54.0,84.0
wealth,23.0,4.0,57.0,84.0
era,23.0,11.0,49.0,83.0
morpho,26.0,6.0,51.0,83.0
code,18.0,2.0,63.0,83.0
question,25.0,4.0,54.0,83.0
bill,36.0,4.0,43.0,83.0
step,47.0,1.0,35.0,83.0
behind,27.0,5.0,51.0,83.0
welcome,16.0,4.0,62.0,82.0
consumer,27.0,3.0,52.0,82.0
order,29.0,2.0,51.0,82.0
president,37.0,2.0,43.0,82.0
dollars,25.0,3.0,54.0,82.0
fact,32.0,5.0,45.0,82.0
proof,23.0,0.0,59.0,82.0
either,24.0,2.0,56.0,82.0
huge,22.0,9.0,51.0,82.0
youtube,22.0,5.0,55.0,82.0
100k,31.0,3.0,48.0,82.0
click,12.0,4.0,66.0,82.0
clarity,33.0,6.0,42.0,81.0
block,30.0,2.0,49.0,81.0
plan,24.0,11.0,46.0,81.0
interesting,31.0,4.0,46.0,81.0
monad,38.0,6.0,37.0,81.0
vault,14.0,6.0,61.0,81.0
bit,33.0,3.0,45.0,81.0
whether,30.0,7.0,44.0,81.0
bring,32.0,5.0,43.0,80.0
experience,33.0,2.0,45.0,80.0
culture,25.0,10.0,45.0,80.0
conversation,27.0,0.0,53.0,80.0
businesses,17.0,1.0,62.0,80.0
management,20.0,5.0,55.0,80.0
circle,33.0,1.0,46.0,80.0
regulatory,32.0,13.0,35.0,80.0
literally,25.0,5.0,50.0,80.0
avax,26.0,1.0,53.0,80.0
care,16.0,3.0,60.0,79.0
performance,38.0,2.0,39.0,79.0
l2s,38.0,2.0,39.0,79.0
event,21.0,9.0,49.0,79.0
1m,26.0,2.0,51.0,79.0
pretty,21.0,3.0,54.0,78.0
rates,16.0,5.0,57.0,78.0
break,26.0,9.0,43.0,78.0
content,31.0,1.0,46.0,78.0
usde,11.0,1.0,66.0,78.0
gets,22.0,3.0,53.0,78.0
near,22.0,3.0,53.0,78.0
project,28.0,3.0,47.0,78.0
24,27.0,11.0,40.0,78.0
tax,22.0,3.0,52.0,77.0
lower,23.0,6.0,48.0,77.0
thought,26.0,5.0,46.0,77.0
vaults,19.0,8.0,50.0,77.0
exactly,18.0,5.0,54.0,77.0
traders,18.0,6.0,53.0,77.0
morning,50.0,4.0,23.0,77.0
ask,23.0,5.0,48.0,76.0
hours,19.0,5.0,52.0,76.0
line,26.0,6.0,44.0,76.0
able,26.0,4.0,46.0,76.0
stack,32.0,1.0,43.0,76.0
enjoy,18.0,8.0,50.0,76.0
job,30.0,7.0,39.0,76.0
took,22.0,7.0,47.0,76.0
position,20.0,4.0,52.0,76.0
ready,32.0,2.0,42.0,76.0
80,30.0,6.0,40.0,76.0
personal,41.0,2.0,33.0,76.0
recent,28.0,4.0,44.0,76.0
longer,31.0,5.0,39.0,75.0
zk,29.0,1.0,45.0,75.0
execution,47.0,0.0,28.0,75.0
knowledge,35.0,0.0,40.0,75.0
generation,31.0,6.0,38.0,75.0
available,26.0,2.0,47.0,75.0
imagine,23.0,4.0,48.0,75.0
2017,27.0,5.0,43.0,75.0
2021,20.0,4.0,51.0,75.0
hyperliquid,23.0,2.0,50.0,75.0
seems,21.0,6.0,48.0,75.0
costs,22.0,5.0,48.0,75.0
breaking,23.0,4.0,48.0,75.0
happy,22.0,1.0,52.0,75.0
progress,40.0,2.0,32.0,74.0
book,17.0,4.0,53.0,74.0
org,36.0,2.0,36.0,74.0
bank,25.0,1.0,48.0,74.0
answer,28.0,4.0,42.0,74.0
house,27.0,3.0,44.0,74.0
18,19.0,10.0,45.0,74.0
happened,20.0,5.0,49.0,74.0
safe,15.0,7.0,52.0,74.0
especially,27.0,3.0,44.0,74.0
grow,39.0,1.0,33.0,73.0
activity,32.0,2.0,39.0,73.0
vision,32.0,1.0,40.0,73.0
13,36.0,2.0,35.0,73.0
happens,18.0,3.0,52.0,73.0
unique,25.0,1.0,47.0,73.0
