timestamp,priority_score,alert_level,reasons,telegram_msgs,whale_txs,twitter_engagement,telegram_sentiment,twitter_sentiment
2025-10-28 09:00:00,3,MEDIUM,고래 거래 급증 (z=3.25),0.0,200.0,2963.0,0.0,0.3
2025-10-27 22:00:00,3,MEDIUM,고래 거래 급증 (z=2.52),3.0,151.0,0.0,0.2131999999999999,0.0
2025-10-27 09:00:00,3,MEDIUM,고래 거래 급증 (z=2.84),2.0,159.0,968.0,0.1528499999999999,0.6
2025-10-26 01:00:00,3,MEDIUM,고래 거래 급증 (z=3.23),2.0,180.0,395.0,0.52535,0.0
2025-10-25 22:00:00,3,MEDIUM,고래 거래 급증 (z=2.98),2.0,131.0,6075.0,0.0,0.2
2025-10-22 22:00:00,3,MEDIUM,고래 거래 급증 (z=4.43),1.0,424.0,3180.0,-0.128,0.08571428571428572
2025-10-21 22:00:00,3,MEDIUM,고래 거래 급증 (z=3.85),1.0,502.0,7166.0,0.5423,0.0
2025-10-18 22:00:00,3,MEDIUM,고래 거래 급증 (z=4.65),3.0,887.0,731.0,-0.15245,0.1
2025-10-17 22:00:00,3,MEDIUM,고래 거래 급증 (z=3.80),1.0,342.0,0.0,-0.5267,0.0
2025-10-17 18:00:00,3,MEDIUM,고래 거래 급증 (z=2.70),3.0,183.0,2939.0,-0.1418,0.05454545454545454
2025-10-17 04:00:00,3,MEDIUM,고래 거래 급증 (z=2.87),2.0,159.0,0.0,0.05135,0.0
2025-10-16 22:00:00,3,MEDIUM,고래 거래 급증 (z=3.98),1.0,145.0,3893.0,0.5473,0.3
2025-10-14 22:00:00,3,MEDIUM,고래 거래 급증 (z=3.92),1.0,131.0,597.0,0.0,-0.04
2025-10-13 22:00:00,3,MEDIUM,고래 거래 급증 (z=3.83),1.0,127.0,597.0,0.8402,0.25
2025-10-12 22:00:00,3,MEDIUM,고래 거래 급증 (z=3.81),3.0,192.0,862.0,0.1786666666666666,0.6
2025-10-11 00:00:00,3,MEDIUM,고래 거래 급증 (z=4.24),0.0,275.0,198.0,0.0,0.08
2025-10-10 22:00:00,3,MEDIUM,고래 거래 급증 (z=4.31),2.0,129.0,43.0,-0.48265,0.06666666666666667
2025-10-09 22:00:00,3,MEDIUM,고래 거래 급증 (z=3.71),2.0,159.0,15.0,0.11315,0.0
2025-10-09 18:00:00,3,MEDIUM,고래 거래 급증 (z=2.04),1.0,117.0,2494.0,-0.3612,0.16
2025-10-08 22:00:00,3,MEDIUM,고래 거래 급증 (z=4.62),1.0,206.0,0.0,0.0,0.0
2025-10-07 22:00:00,3,MEDIUM,고래 거래 급증 (z=4.36),1.0,100.0,0.0,0.0,0.0
2025-10-06 22:00:00,3,MEDIUM,고래 거래 급증 (z=3.59),3.0,58.0,0.0,0.39205,0.0
2025-10-05 22:00:00,3,MEDIUM,고래 거래 급증 (z=2.51),2.0,56.0,0.0,0.11315,0.0
2025-10-05 05:00:00,3,MEDIUM,고래 거래 급증 (z=2.16),1.0,54.0,16763.0,0.3612,0.0
2025-10-04 22:00:00,3,MEDIUM,고래 거래 급증 (z=4.47),3.0,70.0,0.0,-0.261875,0.0
2025-10-03 22:00:00,3,MEDIUM,고래 거래 급증 (z=4.26),2.0,85.0,30.0,-0.0939,0.0
2025-10-02 22:00:00,3,MEDIUM,고래 거래 급증 (z=4.38),1.0,78.0,0.0,-0.5574,0.0
